variant,corpus,seed,tokens,train_tokens,steps,parameters,final_loss,accuracy,train_seconds,peak_train_mib
sliding,needle,19,2048,524288,64,1266305,4.96875,0.019531,2.131,160.954
hybrid,needle,19,2048,524288,64,1266305,4.976562,0.019531,3.578,377.971
hybrid_retrieval,needle,19,2048,524288,64,1266305,4.976562,0.019531,3.468,377.971

full,needle,41,2048,524288,64,1266305,4.929688,0.011719,1.126,141.641
sliding,needle,41,2048,524288,64,1266305,4.90625,0.007812,2.113,160.954
hybrid,needle,41,2048,524288,64,1266305,4.96875,0.007812,3.241,377.971
hybrid_retrieval,needle,41,2048,524288,64,1266305,4.96875,0.007812,3.278,377.971

full,retrieval,7,2048,524288,64,1266305,5.210938,0.019531,1.066,141.642
sliding,retrieval,7,2048,524288,64,1266305,5.171875,0.011719,2.212,160.954
hybrid,retrieval,7,2048,524288,64,1266305,5.289062,0.011719,3.282,377.972
hybrid_retrieval,retrieval,7,2048,524288,64,1266305,0.000298,1.0,3.902,380.073

full,retrieval,19,2048,524288,64,1266305,5.554688,0.011719,1.074,141.642
sliding,retrieval,19,2048,524288,64,1266305,5.5625,0.011719,2.187,160.954
hybrid,retrieval,19,2048,524288,64,1266305,5.632812,0.011719,3.321,377.972
hybrid_retrieval,retrieval,19,2048,524288,64,1266305,3.3e-05,1.0,3.916,380.073

full,retrieval,41,2048,524288,64,1266305,5.117188,0.011719,1.094,141.642
sliding,retrieval,41,2048,524288,64,1266305,5.085938,0.015625,2.295,160.954
hybrid,retrieval,41,2048,524288,64,1266305,5.09375,0.007812,3.354,377.972
hybrid_retrieval,retrieval,41,2048,524288,64,1266305,0.000627,1.0,3.862,380.073

#OBSERVATIONS: Hybrid with retrieval is 3.5x slower than Full attention
#Peak MiB is very high by hybrid
